,Golden_grains
0,1151950.1543311852
1,1445668.4754415115
2,1594306.7718293353
3,1385306.96955923
4,1366709.1817713054
5,1308757.5342362584
6,1364264.5607780858
7,1132561.798671394
8,1132994.3355158116
9,1150637.472457929
10,1126728.2311885168
11,1176909.4675115796
12,1453614.7544251538
13,1626525.6327147882
14,1398206.146304617
15,1266533.3355357228
16,1449249.8206076014
17,1229344.2451169922
18,1367704.5593271928
19,1140534.1498142208
20,1262837.475352154
21,1277764.4574426173
22,1498798.7058535737
23,1109888.0246174752
24,1312031.93547754
25,1464586.3147768937
26,1250250.9486918598
27,1146608.5670600776
28,1440283.9056970046
29,1263996.7071712704
30,1108420.7327868312
31,1378309.9957365762
32,1392220.7446099287
33,1425649.15995096
34,1148850.9124441475
35,1422646.1992001175
36,1271196.3268051844
37,1390209.8361401842
38,1259133.3695902042
39,1522501.6778965562
40,1303724.7864718577
41,1494502.5080501095
42,1440121.8741619287
43,831220.63798026
44,1516348.4213588105
45,1145891.6557207718
46,1362237.267739052
47,1371719.9980090125
48,1298025.664460438
49,1217941.4521777069
50,1425936.081663035
51,1271073.3478096572
52,1367997.7186053589
53,1505976.970813184
54,1270295.7329328454
55,1237790.5492945598
56,1158495.6704837042
57,1501385.7578836726
58,1078190.4375774304
59,1044905.4568234653
60,1538647.6966870413
61,1495230.6949125559
62,1217274.3891836256
63,1140318.8883255804
64,1289782.122018923
65,1307325.9384476887
66,1471941.9298558375
67,1508692.051945769
68,1403322.927476456
69,1298945.031009405
70,1377990.8435085034
71,1438552.4442928268
72,1031789.3177781733
73,964592.3274860893
74,1247423.6623264744
75,1300642.7753453397
76,1423458.2442034746
77,1277409.7254934316
78,1324766.875378688
79,1192707.0460402598
80,1398057.5773435473
81,1483903.8685176799
82,1262878.970008363
83,847982.7264143078
84,1316640.2654712414
85,1345963.484386662
86,1318002.3860660105
87,1456929.0068368143
88,1199741.4240370765
89,1401752.4618660947
90,1469944.2382082182
91,1494736.9505584857
92,1270949.2817344826
93,1274435.0396532763
94,1188636.135282813
95,1377456.4280556804
96,1395417.9634874698
97,1453280.9014754246
